title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,like
Bana Öyle Bakma,Teoman,turkish pop,2011,115,38,52,-12,8,35,210,85,5,57,0
Seni Kimler Aldı,Sezen Aksu,turkish pop,1991,92,37,27,-8,11,16,209,77,3,57,0
Yalan,Athena,turkish pop,2006,109,25,49,-13,31,7,286,84,3,58,0
Haydi Söyle,Kalben,turkish pop,2016,81,32,48,-5,17,32,166,80,3,55,0
Yine Yazı Bekleriz,TNK,turkish pop,2010,164,71,48,-5,9,40,286,9,4,57,1
Kurşuni Renkler,Sezen Aksu,turkish pop,2009,142,38,52,-8,11,46,278,79,3,55,0
Vazgeçtim,Sezen Aksu,turkish pop,1991,141,22,48,-12,11,19,310,78,4,56,0
Tükeneceğiz,Sezen Aksu,turkish pop,1984,177,68,40,-6,10,50,259,65,5,58,0
Bitmesin,Gökhan Türkmen,turkish pop,2018,125,72,68,-6,11,72,288,28,3,42,1
Gönlünü Gün Edeni,Mustafa Sandal,turkish pop,2007,127,74,71,-7,25,89,250,23,3,54,0
Tutuklu,Sezen Aksu,turkish pop,2004,132,56,75,-7,14,54,265,31,6,53,1
Bu Sabahların Bir Anlamı Olmalı,Vega,turkish rock,2002,133,63,49,-9,16,35,269,47,3,46,0
Sensiz Ben,Pera,turkish pop,2013,106,61,73,-8,23,55,270,12,3,58,1
Yapma N'olursun,Dolu Kadehi Ters Tut,turkish rock,2015,100,31,67,-11,11,36,178,88,4,65,0
Lovesong - Remastered,The Cure,dance rock,1989,140,79,61,-8,22,86,208,33,3,65,0
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74,1
Single Ladies (Put a Ring on It),Beyoncé,dance pop,2008,193,58,43,-5,19,27,193,4,30,65,0
SexyBack (feat. Timbaland),Justin Timberlake,dance pop,2006,117,58,97,-6,5,96,243,6,8,76,1
Sorry For Party Rocking,LMFAO,dance pop,2011,134,88,60,-4,41,55,204,0,17,57,0
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,71,0
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,140,81,61,-6,23,23,203,0,6,61,1
Wake Me up Before You Go-Go,Wham!,dance rock,1984,82,57,62,-12,6,90,231,27,4,79,1
Shut Up and Dance,WALK THE MOON,indie pop,2014,128,87,58,-4,26,62,199,1,6,69,1
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,65,0
Milkshake,Kelis,dance pop,2003,113,77,88,-6,21,76,183,1,4,66,0
Sk8er Boi,Avril Lavigne,canadian pop,2002,150,90,49,-4,36,48,204,0,5,75,0
Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76,1
Girlfriend,Avril Lavigne,canadian pop,2007,164,96,56,-2,21,67,217,0,10,74,1
So What,P!nk,dance pop,2008,126,87,54,-3,38,42,215,0,4,62,1
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,77,0
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,79,0
Day 'N' Nite - Crookers Remix,Kid Cudi,hip hop,2009,130,71,76,-5,6,96,282,3,5,64,0
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,2014,140,62,59,-7,18,40,323,1,5,71,1
Wonderful Life,Hurts,metropopolis,2011,120,84,70,-7,18,41,254,17,6,55,1
Don't Speak,No Doubt,alternative rock,1995,76,71,52,-7,16,57,263,24,4,72,1
Boyalı Da Saçların,Mabel Matiz,karadeniz halk muzigi,2018,100,61,49,-7,16,20,332,29,3,59,0
Sen Aşkımızdan,Evrencan Gündüz,turkish jazz,2018,130,43,80,-11,31,60,211,48,11,50,0
Gözlerine,Mabel Matiz,karadeniz halk muzigi,2019,95,77,54,-5,34,47,262,0,4,59,1
Ben Öldüm,Gece,turkish alternative,2011,96,69,63,-5,13,79,183,1,4,51,1
Can't Get You out of My Head,Kylie Minogue,australian dance,2001,126,56,77,-8,12,96,231,3,3,72,0
Bahsetmiş miydim?,Didem Koçer,,2019,110,33,72,-16,18,48,220,69,8,27,0
Nicotine,Louise Verneuil,french indie pop,2018,139,68,52,-7,9,42,236,1,3,27,1
Paradise,The Neighbourhood,modern alternative rock,2018,83,72,68,-6,25,30,210,21,3,55,1
Memories (feat. Kid Cudi),David Guetta,dance pop,2010,130,90,55,-4,23,47,211,0,23,64,1
Back To Black,Amy Winehouse,british soul,2006,123,73,49,-3,10,34,240,12,4,74,0
Resmen Aşığım,Nil Karaibrahimgil,turkish folk,2002,144,58,67,-7,7,90,196,80,4,46,0
I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,72,242,60,5,82,0
Come A Little Closer,Cage The Elephant,garage rock,2013,148,79,45,-2,18,32,229,2,3,62,1
Fallingforyou,The 1975,indie pop,2013,85,28,26,-15,34,8,241,89,4,62,1
I Follow Rivers,Lykke Li,art pop,2011,122,53,60,-14,24,61,228,48,5,62,0
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,dance rock,1986,136,77,52,-6,14,88,245,4,3,73,0
Binary Love,Tommy,,2018,131,41,51,-8,13,13,276,24,3,40,1
Slow Love,TENDER,electropop,2019,75,86,67,-7,33,77,252,78,34,45,0
Tiny Drop,Simone White,etherpop,2018,159,36,33,-10,13,25,222,87,5,37,0
Out of Focus,RIVVRS,folk-pop,2018,148,51,57,-9,11,56,237,38,3,36,1
Princes,Oscar and the Wolf,belgian pop,2014,90,51,61,-10,13,53,235,45,6,45,0
Toprak Yağmura (Akustik),Canozan,turkish alternative rock,2018,174,22,28,-15,51,18,237,92,3,58,1
Promising,flora cash,indie pop,2013,80,66,46,-6,11,32,236,46,4,26,0
AYA,Murda,basshall,2019,180,68,74,-4,18,69,197,11,10,69,0
You're Somebody Else,flora cash,indie pop,2018,103,45,71,-10,11,24,219,84,3,71,1
Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,77,0
Easier,Mansionair,aussietronica,2019,117,48,47,-7,7,21,273,20,4,61,1
Missing Home,flora cash,indie pop,2019,90,73,61,-7,7,25,219,34,4,59,0
I Wasted You,flora cash,indie pop,2019,176,67,43,-4,14,27,222,22,4,49,0
She Will Be Loved,Maroon 5,pop,2002,102,71,71,-6,13,54,257,6,3,73,0
Doin' Time,Lana Del Rey,art pop,2019,145,54,65,-11,10,50,202,37,5,76,1
God Save Our Young Blood (with Lana Del Rey),BØRNS,electropop,2018,131,55,62,-8,13,40,233,74,5,49,0
Black Treacle,Arctic Monkeys,garage rock,2011,100,89,34,-6,9,53,217,0,7,57,1
There's Too Much Love,Belle & Sebastian,alternative rock,2000,144,55,57,-8,19,88,207,42,3,44,0
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,92,63,69,-6,10,80,161,5,4,76,0
I Like Me Better,Lauv,pop,2018,92,51,75,-8,10,42,197,54,25,85,1
Yanarım,Sertab Erener,turkish jazz,1999,146,59,51,-7,14,50,196,68,4,53,0
Bikinisinde Astronomi (Bonus Trek),Son Feci Bisiklet,turkish pop,2014,101,31,49,-9,7,27,182,98,3,59,1
Team,Lorde,art pop,2013,100,58,69,-7,31,42,193,17,9,66,0
She Loves You - Mono / Remastered,The Beatles,beatlesque,2000,76,92,38,-3,7,91,141,26,5,67,0
Know You Better,LEISURE,auckland indie,2016,97,54,75,-8,10,34,214,8,3,44,1
utopia,Lykke Li,art pop,2018,84,41,36,-7,11,31,223,55,3,40,0
Time Is Running Out,Muse,modern rock,2004,118,84,59,-6,9,43,237,0,6,67,0
Supermassive Black Hole,Muse,modern rock,2006,120,92,67,-4,9,78,212,5,4,73,0
Love Will Tear Us Apart,Joy Division,alternative rock,2008,147,96,44,-6,14,91,207,0,5,72,1
When The Sun Goes Down,Arctic Monkeys,garage rock,2006,169,88,35,-5,12,41,202,3,20,71,0
Takıl Yani Takmıyo Belli,Büyük Ev Ablukada,turkish alternative rock,2012,84,43,49,-12,12,54,107,29,3,40,1
Diet Mountain Dew,Lana Del Rey,art pop,2012,88,70,60,-6,41,53,223,28,4,57,1
HOŞÇAKAL KADAR,Büyük Ev Ablukada,turkish alternative rock,2017,110,56,72,-16,11,28,387,19,3,57,0
People Are Strange,The Doors,acid rock,1967,119,47,70,-9,32,76,130,69,4,69,1
EVREN BOZMASI,Büyük Ev Ablukada,turkish alternative rock,2017,103,54,65,-14,8,14,289,61,4,53,0
Promises,Megadeth,album rock,2001,76,70,37,-6,9,21,269,0,3,55,0
You,The Pretty Reckless,candy pop,2010,83,55,20,-7,12,27,213,19,3,55,0
How to Save a Life,The Fray,modern rock,2005,122,74,64,-4,10,36,263,27,4,80,1
Mirrors,Justin Timberlake,dance pop,2013,77,51,57,-7,9,51,484,23,5,76,0
Bırakman Doğru Mu,Anıl Piyancı,turkish hip hop,2019,90,93,70,-3,34,64,261,9,5,66,0
Söz Bitti,Sertab Erener,turkish jazz,2001,144,66,28,-5,8,18,260,19,6,45,1
Her Yerde Sen,Zeynep Bastık,turkish pop,2019,105,96,72,-6,10,76,220,8,11,62,0
Clocks,Coldplay,permanent wave,2002,131,75,58,-7,18,26,308,60,3,76,1
Still Loving You,Scorpions,album rock,2011,104,61,28,-5,10,8,403,0,3,72,0
Heart-Shaped Box,Nirvana,alternative rock,1993,203,64,26,-10,9,38,281,20,6,74,0
Don't Stop Me Now - 2011 Mix,Queen,glam rock,1978,156,87,56,-5,78,61,209,5,17,82,0
Another One Bites The Dust - Remastered 2011,Queen,glam rock,1980,110,53,93,-6,16,75,215,11,16,81,1
Holy Wars...The Punishment Due - Remastered 2004,Megadeth,album rock,1990,125,99,33,-4,35,22,393,0,15,65,0
Gül Döktüm Yollarına,Tarkan,turkish pop,1994,150,64,67,-13,14,97,249,10,3,50,0
Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,42,242,9,3,79,1
Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,28,267,0,3,81,0
sun in the arms of love,123,turkish jazz,2012,120,58,59,-10,9,32,214,6,5,34,1
Borderline,Tame Impala,australian psych,2020,98,87,62,-3,8,87,238,4,4,77,0
Fluorescent Adolescent,Arctic Monkeys,garage rock,2007,112,83,65,-5,12,79,184,0,3,75,0
Again,123,turkish jazz,2010,123,48,73,-7,9,37,215,36,3,21,0
Zor Değil,Mabel Matiz,karadeniz halk muzigi,2012,112,45,69,-11,12,56,272,41,2,48,1
Let It Happen,Tame Impala,australian psych,2015,125,88,60,-6,11,58,468,0,4,74,0
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81,1
Lotus Flower,Radiohead,alternative rock,2011,128,68,72,-9,8,62,300,9,3,58,0
I'm in Love,Ola,europop,2012,122,69,75,-5,10,76,200,0,4,43,0
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,79,1
Rock Your Body,Justin Timberlake,dance pop,2002,101,71,89,-6,5,82,267,20,14,71,0
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,84,1
,jfdfkjdkfk,jfdkfj,3443,34,5,3,5,2,3,5,3,4,3
gfgfg,gffg,fgff,6,5,5,6,8,453,3,5,9,7,3434
hghgdg,fgfgfg,gfg,5,46676,44,888,43,89898,*0*0,3434343,5656,656565,67678999
